Probesets	cold_green_6h	cold_green_24h	cold_roots_6h	cold_roots_24h	osmotic_green_6h	osmotic_green_24h	osmotic_root_6h	osmotic_root_24h	salt_green_6h	salt_green_24h	salt_root_6h	salt_root_24h	drought_green_6h	drought_green_24h	drought_root_6h	drought_root_24h	genotox_green_6h	genotox_green_24h	genotox_root_6h	genotox_root_24h	oxidative_green_6h	oxidative_green_24h	oxidative_root_6h	oxidative_root_24h	UV-B_green_6h	UV-B_green_24h	UV-B_root_6h	UV-B_root_24h	wounding_green_6h	wounding_green_24h	wounding_root_6h	wounding_root_24h	heat_green_3+3h	heat_green_3+21h	heat_root_3+3h	heat_root_3+21h	diurnal_04h.CEL	diurnal_08h.CEL	diurnal_12h.CEL	diurnal_16h.CEL	diurnal_20h.CEL	diurnal_24h.CEL	Sulfate_2h	Sulfate_8h	Sulfate_24h	Pinf_6h	Pinf_24h	DC3000_02h	DC3000_24h	ABA_3h	ABA_30h	ACC_3h	ACC_30h	BL_3h	BL_30h	GA_3h	GA_30h	IAA_3h	IAA_30h	MJ_3h	MJ_30h	ZEA_3h	ZEA_30h	cell_cycle_aph_6h	cell_cycle_aph_8h	cell_cycle_aph_10h	cell_cycle_aph_12h	cell_cycle_aph_14h	cell_cycle_aph_16h	cell_cycle_aph_19h
249364_at	-0.27593005	-0.5108508	1.7447667	2.124423	-0.20772447	-0.05903684	-1.6447132	-1.3625479	-0.41227362	-0.46020573	2.2089705	1.1235858	0.1824796	-0.15624313	2.0845542	0.43495864	-0.3608456	-0.8141973	0.33781692	0.520328	0.3416567	-0.21928029	0.055192634	-1.334267	-0.47518665	-0.297622	0.8207266	0.10559304	0.1541423	-0.38463828	0.24816634	0.09675113	-0.32282093	-0.104181945	-0.87581587	-1.01097	-0.248496	-0.24250147	-0.13233061	-0.17180632	-0.42159694	-0.16086158	0.08140978	-0.029878946	0.002813683	-0.2991578	-0.21862002	-0.14616923	-0.35882783	-2.0655856	-0.87927455	4.156213	0.47131923	-0.76737404	-0.56040317	0.40031	-0.016003888	3.2613251	0.7129105	-1.5069929	-0.83709866	0.32156348	0.28411317	-0.33872464	-0.29948336	-0.24587676	-0.33287057	-0.21087842	-0.25470757	-0.24121758
253423_at	-0.9405282	3.2669048	-0.37776557	0.06860917	-1.7064141	-1.098191	-0.2089573	0.19213033	0.14063086	-1.0668765	1.7009399	0.04335671	-0.31896695	0.28744626	-0.122464955	-0.31757838	0.58752173	0.8323436	0.7192852	1.4075359	-0.461045	-0.8265593	-0.4793761	-0.0299393	-1.4767513	0.22044039	-0.33844635	-0.20002596	-0.6698229	0.21668692	-0.18320595	-0.2870012	0.06882196	-0.33888388	0.148704	-0.02924628	-0.421188	-0.785274	0.04701767	2.13598	1.7575446	0.66737837	-0.12156967	-0.15424818	0.13482635	-1.0123969	0.28218836	-0.12926503	-1.749242	-0.27963546	-0.042730685	0.23180914	-0.045849636	-0.41880277	0.041885447	-0.13620834	0.1004536	4.8425174	1.1965581	-0.5471995	-0.15559602	0.023469564	-0.17235576	-0.71881235	-0.13278218	-0.51476485	-0.6063963	-0.5365889	-0.436816	-0.7672171
250327_at	1.641995	1.4484175	0.33474782	-0.15095752	-1.824993	-3.502397	-0.60242885	-0.7519137	0.028101431	-2.3407366	2.8081205	0.89755243	0.16401477	-0.26512793	-0.26754418	-0.035379164	0.09620403	-0.9452373	-0.30235112	-0.16428202	0.17424369	-0.2815074	0.26112074	-0.49778926	-0.5074191	-0.14362745	0.1508507	-0.3761567	-0.32674074	-0.048493244	0.2921942	-0.03708565	0.75900006	-0.24724464	0.15876724	-0.2118168	0.109886795	-0.8045721	0.42161447	2.3463554	1.5765697	0.50843805	0.21840207	0.23722287	0.06775414	-1.2552693	-0.59995896	0.9874436	-2.813747	-0.55266416	0.21397845	0.70231634	0.62361133	-0.9749066	-1.0210809	0.25260627	0.32387048	1.6985521	1.7100654	-0.60156256	-0.63486207	0.12973422	0.24937856	0.24724466	0.11625559	0.1780108	0.25704584	0.2380708	0.2835719	0.1765228
247474_at	0.6903505	1.6705408	0.043865275	-0.45295456	-1.6257656	-2.4035037	-1.7441872	-1.4515951	-0.28509998	-2.4386203	0.988521	-1.2487427	1.2062726	0.23026773	-0.62819576	0.5527091	0.53521144	-0.756994	-0.21687384	0.56564	1.3089124	-0.33095488	-0.3733632	-0.4111702	-0.022445943	0.84383404	-0.26835242	0.17288044	-0.08844229	0.6590723	-0.14755248	-0.36540312	1.7782694	-0.005415636	-0.92239	-0.040438317	0.057531264	-0.3567975	0.35396594	1.8810874	0.93983257	-0.04007159	-0.08836076	0.04972592	0.16895345	-0.79796064	0.34839225	-0.03794526	-1.1095405	-1.852118	-0.36690173	1.5714735	0.6957802	-0.47499976	-0.456671	0.23626341	0.067584686	2.74938	2.002735	-1.8830514	-1.5963516	0.3795683	0.3430299	0.43524438	0.17794976	0.22372508	0.3580762	0.4077522	0.23183973	0.362993
252661_at	1.7493315	0.9260773	2.055191	2.1120026	-1.6186931	-2.2551656	-0.627775	-0.09329425	-0.65565366	-2.171235	-0.5242215	-0.12129455	-0.8349048	-0.82196945	-0.4515205	-0.029087842	0.17546244	0.121950254	-0.66363114	-0.057215855	-0.24058788	-0.06545408	-0.4439854	0.11965253	1.0878857	0.017505039	0.223462	0.5691998	-0.27048045	-0.001601513	-0.3276323	-0.10132729	-1.1844867	0.61632043	-0.47311077	0.14712295	0.9569618	0.9686143	-0.3277178	3.2468457	3.0030117	1.8917521	0.08178397	-0.009546953	-0.04168546	-0.25460842	-0.1267946	-0.71781486	-2.5881655	-0.9976	-0.70226264	-0.29562473	-0.31754825	-0.5469508	-0.45699042	-0.036617335	0.004733895	-0.5775271	-0.448789	-0.1520017	-0.54100686	0.20720702	0.5477116	0.16502744	0.2107281	0.11933195	0.40049425	0.4174816	0.55637574	0.47435617
258239_at	0.61101156	-0.6083303	0.6041991	0.4358213	-0.25744954	-3.0438085	0.2012878	0.44731513	0.2439529	-1.4835168	0.14844191	0.42513767	-0.09101144	0.32232773	0.46132925	0.6223219	0.2871129	0.07032731	0.23921439	0.5628926	0.21932447	0.080889404	0.025502164	0.29701325	-1.1957287	-0.28483278	-0.043349475	0.609889	-0.36964497	-0.15189973	0.32326034	0.9309846	-0.9154733	0.1239825	-0.26344037	0.32229662	-2.071126	-0.32404086	2.6756165	3.09947	2.406438	-0.49980307	-0.04723596	0.059557572	0.28352338	-0.39251682	-1.278332	-1.3626634	-4.2725706	0.32760656	0.30728194	-0.28087932	0.34962392	-0.37877575	0.27930978	0.18604775	0.18885759	-0.29480958	0.26106367	-0.24427769	0.2790307	0.2703691	0.121671356	0.09826431	0.057200924	-0.037880935	0.06564024	0.038330585	0.11670839	0.105950095
248910_at	1.4501406	-0.3107802	0.16640233	0.37186486	-0.21649235	-2.4230602	0.08284802	0.44960973	0.21583815	-2.1828327	0.24555248	0.12940936	-0.13511164	0.18293433	0.012576521	0.23977366	0.17048876	-0.33267936	0.10889129	0.1674496	0.10439426	-0.51309264	-0.18498433	0.15623054	-0.94452417	-0.72141296	0.066951305	0.4218499	-0.6620337	0.23625173	0.10949566	0.07400518	-0.62024844	-0.20057811	0.03459287	-0.006081316	-0.14466934	0.38987708	1.9060225	4.5620646	3.7273884	0.7250235	0.25512654	0.04724986	0.108363114	-1.0113506	0.100698955	-0.9184492	-2.980956	-0.16687076	0.1362806	0.46819222	-0.17729893	-0.39739522	-0.16288933	-0.20073484	-0.31985927	-0.12540892	-0.32440415	-1.0850816	-0.7468109	0.053867448	-0.05854163	0.19071874	0.08524004	0.19733636	0.056617122	-0.027986322	0.11005071	-0.015049734
261663_at	1.3926572	0.4327285	0.07649175	0.575453	-0.052560456	-0.33407795	0.21184276	-0.01209165	-0.2189945	-1.2267343	-0.17158233	-0.34975392	0.31074643	0.20461132	-0.24551375	-0.6088269	0.4101637	-0.41761965	-0.478925	-1.0008712	0.5332554	-0.15584458	0.8367203	0.10647735	-0.4650006	0.2820099	0.29948595	0.59188145	0.050381552	0.45321634	0.755952	-0.42513543	-2.1858642	-0.090984926	-0.8339627	-0.28546417	0.13694717	0.28023386	0.82942915	4.3855042	3.597292	1.0484759	0.048262164	0.2676753	-0.061137922	-1.8361151	0.006626523	-0.06439356	-2.661943	-0.87306273	-0.6305087	0.28978708	-0.70776916	0.95105624	0.29735947	0.30025566	-0.17203975	-0.3958252	-0.013643632	-1.1941165	-1.7126294	-0.36563087	-1.2871892	-0.03884288	0.16690229	0.32191324	0.22768302	0.14599086	0.33983648	0.4093504
247252_at	-0.26448506	0.76817596	0.097379625	0.16070007	-0.62459666	-3.7588575	0.03478082	0.09303568	-0.29018793	-1.7767693	0.29279113	-0.28188735	-0.21222	-0.8129141	0.02279901	-0.044419196	0.16178176	-0.032965656	0.3798556	-0.20541191	-0.65870786	-0.7937771	-0.045909926	0.02936087	-0.07826078	-0.6848698	-0.13944797	-0.17935187	-0.32479155	-0.7707283	-0.084348656	-0.13171677	-0.63620096	0.31594107	0.3016383	0.23155299	1.0139884	0.7971898	0.31173643	1.5775224	2.316661	1.5578849	-0.1586198	-0.113844305	-0.029925702	-1.2082572	0.2571277	0.10634288	-4.2233944	-0.8251761	-0.007240596	-0.11224205	0.2708628	2.1530411	1.034989	0.53216195	-0.06643319	2.249699	1.4048395	0.6700185	0.025976073	-0.7490167	0.17299183	0.19065979	0.12816232	-0.031914562	0.23564994	0.12765035	0.11392725	0.2200152
263549_at	0.6039991	-0.7581556	0.48569	0.38053817	-2.8448377	-3.1513424	0.2667967	0.3348596	-2.89358	-3.126903	0.1206386	1.153004	-1.8061495	-0.19221354	0.06080262	0.41303083	0.47233906	0.18136393	0.17794462	0.38316298	0.46055296	0.23899864	0.12099334	0.584769	-0.7726455	0.31459227	0.06690872	0.4228078	-0.31458125	0.5789088	0.29510418	0.32309312	-2.3839824	0.14311224	-0.002783817	0.29254532	0.82457185	1.1767341	1.4367414	1.5800219	1.3974656	0.9323957	0.03437496	0.13874678	0.25234544	-0.79787076	-0.71163195	-0.24422938	-2.3550506	0.24550661	0.24731743	0.21019831	0.40785697	0.5773675	0.2972994	0.3007059	0.23114172	0.23122767	0.1704225	0.26164278	0.25826058	-0.10970613	0.38745826	0.31877276	0.26951328	0.1866785	0.20351675	0.31228143	0.35457736	0.34396333
248683_at	0.9420842	-2.9809186	0.3431772	0.2661274	-2.8195918	-4.215837	0.23881431	0.3728375	-0.4809922	-2.0394855	0.2825095	0.08875767	-0.28390136	0.23378764	0.17736432	0.04360226	0.061796825	-0.31590912	0.3402945	0.37798086	0.12643328	-0.21713258	0.1933726	0.27757907	-1.8540924	-0.27151492	0.25284302	0.12450699	0.25277522	0.21705417	0.23769358	0.19627047	-0.26245445	0.09334475	0.42191765	0.24905501	-0.19193123	0.9790765	3.4342964	2.1314461	0.034245458	-0.9070587	0.30904058	0.29317313	0.2818494	-0.68985695	-1.5259739	0.26008752	-0.16560154	0.11080459	0.4878805	-0.17858478	0.5761738	0.18213065	0.32193774	0.3949142	0.31354803	-0.13511853	0.5739904	-0.43705454	0.33990937	0.5583553	0.11428723	0.27645874	0.21424232	0.19369853	0.29111937	0.29285687	0.3601204	0.23538698
252011_at	2.0701754	-4.1248026	0.40817702	0.7119637	-1.7067949	-3.0740244	0.3195833	0.6323416	-1.4799397	-2.431306	0.46363667	0.47884935	-0.24335727	0.024934787	0.15680999	0.3290208	0.0639435	-0.10646276	0.19185407	0.35375822	0.5671315	-0.09861272	0.12973018	0.52034295	-0.9942346	-1.1369023	0.18439125	0.52319276	-0.2637242	-0.35448894	0.43240303	0.6158417	-0.53698856	0.72379154	0.7180903	0.6441655	0.93949	1.101193	1.7347622	1.5363741	-0.8221066	0.08777215	0.5096034	0.49386495	0.40971708	-0.5061738	-1.2889037	-0.16196212	-1.9213536	-0.77469856	0.55553234	0.25032416	0.40291524	0.2579273	0.5366899	0.10634451	0.3503552	-0.30100513	0.64650625	-1.4163493	0.09885349	-0.049838107	0.13036574	0.12342036	0.31102395	0.39769325	0.22106814	0.38946438	0.44301343	0.49562588
248028_at	0.017266046	-1.6132575	0.41277325	0.31602272	-1.9239035	-4.1168723	0.50720584	0.60694844	-0.86124766	-1.7739574	0.42438796	0.27630335	-0.3567374	-0.22802477	0.501584	0.37258187	0.09476566	0.08202797	0.5200994	0.3118743	0.40328598	0.13842975	0.29857668	0.17195955	-0.7454701	-0.69870037	0.38795868	0.17387715	-0.70729375	-0.5655525	0.3555742	0.19513083	-0.16086237	0.33826098	0.33775812	0.24876595	1.462997	1.2323033	2.1085303	2.1119087	1.5871733	0.75410736	0.19511898	0.3298142	0.3919683	-1.3659612	-0.78556263	-0.24375957	-3.3675635	0.017637849	0.37847674	1.4911867	0.45619753	-0.39877278	-0.326223	0.29349115	0.044471294	0.84708977	0.24462014	-1.3950729	-0.49748853	0.46102938	0.81999487	0.18784177	-0.3512796	-0.193428	-0.02434696	0.17162685	-0.12833582	-0.25133008
254250_at	0.76532555	0.3433456	0.19965664	0.2777151	-2.0675998	-4.61148	0.27526492	0.16637005	-0.23785909	-2.2184758	0.2631796	0.13334017	-0.24705203	0.27372393	0.08262684	0.11873905	0.25724638	-0.091509596	0.061831184	0.041212983	-0.11112619	-0.31445807	0.048427124	0.1624917	-0.97662795	-0.60643274	0.1236309	0.105718896	0.28853607	0.39812002	0.23597683	0.26570097	-0.1569005	0.48312193	0.31104448	0.20554753	0.32266116	1.1942638	1.6756747	2.5187237	1.8282602	0.51808053	0.24840981	0.22494054	0.36152813	-1.4684677	-1.0459003	0.43999547	-3.7693484	-1.0159849	0.062039632	0.108827	-0.011465711	0.40724	0.17068362	0.48105678	0.25563747	-0.22660251	-0.029102065	-0.3546194	-0.12245371	0.13410829	0.30315986	0.37641793	0.46943906	0.31990588	0.28486088	0.39564398	0.40335438	0.29065925
254746_at	1.549357	-2.5182703	0.57157844	0.16926299	-1.3105283	-3.3241022	-0.4158441	-0.4931379	-0.19703354	-2.363146	0.4434689	-0.48072496	-0.11859104	0.43094823	-0.4079127	0.4265997	0.59938705	-0.12568483	0.25501946	-0.0609017	0.5746795	-0.27481976	0.20357831	0.061328456	-1.6703427	-0.47553244	0.14554949	0.18590711	-0.1845108	-0.5010919	0.16361743	0.07054786	-0.44274154	-0.37908295	0.39208832	-0.27084374	0.26998523	1.2415482	1.9828867	3.001072	1.7221996	-0.0562131	0.42533785	0.3297251	0.45281243	-1.4756689	-1.0142784	-0.066125885	-3.136191	-0.46436396	0.08817497	-0.020324849	0.4472064	0.84405607	0.22414914	0.317525	0.4426123	0.063591816	0.49871	-0.11110205	-0.03310521	-0.30249965	0.12812324	0.35863462	0.4697105	0.6850001	0.7142381	0.5764121	0.5276988	0.6403879
259185_at	2.3744452	-0.71264285	0.463109	0.4259223	-2.3826604	-4.626339	0.31284747	0.31719413	0.5189007	-0.6349275	0.087074615	0.15001534	-0.42719355	-0.17445754	0.3996607	0.10708452	0.4103716	0.31391877	0.28358042	0.1607094	0.06743045	-0.30163977	0.15496841	0.031855587	-1.3854338	-0.35636914	-0.000249	0.2695269	-0.3011828	-0.47598046	0.1575233	0.2037591	-1.475452	0.23408948	0.15227193	0.27656072	0.5576	1.4695554	2.4486961	2.6477585	0.61135876	-0.97875357	0.20335752	0.44409987	0.3425576	-1.97707	-1.2457685	-0.6453869	-1.67774	0.29131007	-0.14581476	-0.15109329	-0.050380684	0.9816374	0.29315534	-0.2145711	-0.28999758	-0.06297308	0.37590405	-0.3374488	-0.18755428	0.26723146	0.8903311	0.22125913	0.030441392	0.39348376	0.29107356	0.19249949	0.32870257	0.06424677
