NAME	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
lon	0.03464519346582651	0.27166562760691687	0.1488580793861305	0.12218502783316121	0.19961333477469284	0.15896160853477903	0.2552932191279421	0.06507847781094477	0.30301369542586604	0.13361404158084736	0.1418216743979857	0.3921872116680445	0.3397148229943039	0.17688469853335645	0.1210305661305784	0.4064385679907417	0.09886426970686037	0.2233790802990221	0.19884710929466176	0.2591963357181446
rpoH	0.0035448600822222762	0.048186689004705296	0.0539612880707148	0.04737948226157355	0.08788106958889175	0.07697945339641026	0.11379144027216513	0.04236161551806795	0.1462805627481681	0.06034375237155295	0.06416817941249661	0.08700659482015131	0.1541571182381841	0.07800323906850547	0.03604199412620916	0.22724612170205055	0.0597498950653277	0.09390105093705858	0.06469421079455721	0.0980566393290067
mopA	0.06202518514990406	0.18199575501818957	0.14114552152771284	0.09432164081475608	0.2053911877605741	0.2399614643983826	0.3314632230249043	0.17224419470436214	0.25137377080138334	0.23671169454940053	0.12440377090738726	0.18931422296277164	0.3085316012957084	0.18687570687122285	0.062468944980432775	0.45362515699670297	0.17807544222741567	0.1200964278591168	0.19465402344681906	0.24475111603903957
htpG	0.034118926525179144	0.0666281654076874	0.0577040629711063	0.12705946693012743	0.1326016350999971	0.2696609785076185	0.18620784188725661	0.13287138196430084	0.255369071055079	0.12933077301385382	0.11648412018156591	0.13762924894531794	0.23904993577546227	0.13401362493812352	0.05821763100331004	0.2519950435060883	0.10013015673274359	0.14805683184310534	0.12387869481355394	0.21145907087579105
rpoE_rseABC	0.06015713855745659	0.14906163420461166	0.3369020044417687	0.06874448388799205	0.3315957060129034	0.06566237806773771	0.8259227309944873	0.7928903828245834	0.32554609795072176	0.33814909064172516	0.9702503737008055	0.36488533829488956	0.46685692505061877	0.09290753622343609	0.04164878543294273	0.5299103238237297	0.941867650037209	0.41545328333571313	0.5437987179592166	0.636456672186028
ibpAB	0.013547986137418843	0.16925214582423825	0.07964735327507835	0.07080274283384724	0.2674894395439285	0.26776434914268515	0.27858360780576086	0.1690103320600816	0.35294688201037305	0.16861146563084378	0.18392393065973858	0.17194433844686632	0.3008907721300597	0.20241765996710917	0.06399798504579148	0.38460117251447407	0.13267343600331666	0.21394902536726304	0.14905923562291895	0.2656240339364707
ecfABC	0.10682463922379033	0.3155361889604058	0.5741709000379254	0.2724209355662927	0.5703573846698242	0.24247198707754355	0.9231244229117108	0.9254677509520498	0.6284216462268658	0.5598329651924491	0.9900825957022529	0.6949208635588148	0.7232882309358445	0.398608218320674	0.05901012836536731	0.8003467948033266	0.9811723655955182	0.6536834053760215	0.7947015731817496	0.8429665004316294
ecfH	0.13368478504217943	0.19999926162585713	0.5950703504317888	0.20822416935155613	0.6231018177988756	0.15546105433319038	0.9033233682898313	0.9122077509029005	0.6488647700442216	0.49945967168698435	0.9905896214567819	0.6028514168373108	0.7111178869080018	0.26967601801895313	0.09458580782513694	0.7161399766397251	0.982834743034142	0.6049230439671264	0.7931638843665324	0.8360483082636737
fkpA	0.15886228187966017	0.2575012377201459	0.6737706690980849	0.15035228565644	0.5928815698817775	0.22173632061068785	0.9200484780521739	0.9269155802416787	0.6015772031750909	0.5088575897177952	0.9886634543195122	0.6015324172880004	0.7612640598980164	0.2827744711682688	0.06442626348196184	0.7904541588718458	0.9808485091914954	0.6273294369565073	0.7705566722517626	0.7951971072887678
crp	0.907312426086855	0.4311874550305872	0.9291054196447028	0.762208555863968	0.17352216037667179	0.2601037760125497	0.5235176605639354	0.7007496964065256	0.2262106344168185	0.4329537397530445	0.9720775385330328	0.8884151095939817	0.3714657011346777	0.6099231156968945	0.7037569514161712	0.21188988159828187	0.47356672671717026	0.8158202695019091	0.7722712509903461	0.2783215842962131
