YORF	Cell-cycle Alpha-Factor 1	Cell-cycle Alpha-Factor 2	Cell-cycle Alpha-Factor 3	Cell-cycle Alpha-Factor 4	Cell-cycle Alpha-Factor 5	Cell-cycle Alpha-Factor 6	Cell-cycle Alpha-Factor 7	Cell-cycle Alpha-Factor 8	Cell-cycle Alpha-Factor 9	Cell-cycle Alpha-Factor 10	Cell-cycle Alpha-Factor 11	Cell-cycle Alpha-Factor 12	Cell-cycle Alpha-Factor 13	Cell-cycle Alpha-Factor 14	Cell-cycle Alpha-Factor 15	Cell-cycle Alpha-Factor 16	Cell-cycle Alpha-Factor 17	Cell-cycle Alpha-Factor 18	Cell-cycle cdc15 10m	Cell-cycle cdc15 30m	Cell-cycle cdc15 50m	Cell-cycle cdc15 70m	Cell-cycle cdc15 80m	Cell-cycle cdc15 90m	Cell-cycle cdc15 100m	Cell-cycle cdc15 110m	Cell-cycle cdc15 120m	Cell-cycle cdc15 120m	Cell-cycle cdc15 130m	Cell-cycle cdc15 140m	Cell-cycle cdc15 150m	Cell-cycle cdc15 160m	Cell-cycle cdc15 160m	Cell-cycle cdc15 170m	Cell-cycle cdc15 180m	Cell-cycle cdc15 190m	Cell-cycle cdc15 200m	Cell-cycle cdc15 210m	Cell-cycle cdc15 220m	Cell-cycle cdc15 240m	Cell-cycle cdc15 250m	Cell-cycle cdc15 270m	Cell-cycle cdc15 290m	Cell-cycle Elutriation 0.0hrs	Cell-cycle Elutriation 0.5hrs	Cell-cycle Elutriation 1.0hrs	Cell-cycle Elutriation 1.5hrs	Cell-cycle Elutriation 2.0hrs	Cell-cycle Elutriation 2.5hrs	Cell-cycle Elutriation 3.0hrs	Cell-cycle Elutriation 3.5hrs	Cell-cycle Elutriation 4.0hrs	Cell-cycle Elutriation 4.5hrs	Cell-cycle Elutriation 5.0hrs	Cell-cycle Elutriation 5.5hrs	Cell-cycle Elutriation 6.0hrs	Cell-cycle Elutriation 6.5hrs	Cell-cycle CLN3 induction 30m	Cell-cycle CLN3 induction 40m	Cell-cycle CLB5 induction 40m	Sporulation 0	Sporulation 30m	Sporulation 2h	Sporulation 5h	Sporulation 7h	Sporulation 9h	Sporulation 11h	Sporulation 2h (v. 5h)	Sporulation 7h (v. 5h)	Sporulation 11h (v. 5h)	Sporulation ndt80- Early	Sporulation ndt80- Middle	Sporulation ndt80over	Diauxic Shift 19.0g/L	Diauxic Shift 18.7g/L	Diauxic Shift 17.6g/L	Diauxic Shift 14.0g/L	Diauxic Shift 7.5g/L	Diauxic Shift 0.2g/L	Diauxic Shift 0g/L
YHR051W	 0.03	 0.30	 0.37	 0.38	-0.14	-0.12	-0.40	 0.10	-0.12	-0.30	 0.08	-0.15	 0.03	-0.20	 0.00	-0.07	-0.23	 0.00	-1.12	-1.18	-0.56	 0.33	 0.56	 0.63	 0.65	 0.83	 0.86	 0.48	 0.60	 0.38	 0.42	 0.42	 0.45	 0.65	 0.12	 0.37	 0.20	 0.79	 0.50	-0.30	 0.65	 0.54	 0.75	 0.68	-0.15	 0.58	 0.51	 0.11	 0.31	 0.18	 0.12	 0.14	 0.10	 0.23	 0.21	-0.18	-0.06	-1.32	-0.71	 0.29	-0.03	-0.38	 0.45	 0.26	 0.03	-0.56	-0.64	 0.46	-0.36	-1.40	-0.71	-0.71	-0.69	 0.20	 0.04	 0.19	 0.41	 0.76	 2.18	 2.50
YKL181W	 0.33	-0.20	-0.12	-0.01	 0.07	-0.07	 0.18	 0.08	 0.54	 0.12	 0.69	-0.04	 0.14	 0.03	 0.41	 0.38	-0.04	-0.17	 0.24	 0.30	 0.31	 0.39	 0.18	 0.33	-0.22	 0.25	 0.07	-0.43	-0.07	-0.36	-0.07	-0.34	 0.10	-0.20	-0.79	-0.15	-0.25	-0.15	-0.03	-0.07	-0.51	-0.81	-0.64	-0.81	-0.62	-0.09	 0.87	 0.43	 0.29	 0.21	 0.04	-0.17	-0.22	-0.30	-0.34	-0.60	-0.17	-0.51		-0.49	-0.20	-0.64	-0.79	-0.69	-1.25	-1.00	-0.86	-0.23	-0.56	-0.22	-1.43	-1.79	-0.64	 0.16	 0.00	-0.06	-0.62	-0.86	-1.89	-1.94
YHR124W	 0.36	 0.08	 0.06	-0.30	 0.00	-0.23	-0.06	-0.10	 0.12	-0.36	-0.07	-0.34	-0.06	-0.29	-0.18	 0.07	-0.30	-0.20	-0.56	-0.15	-0.86	-0.67	 0.33	-0.92	-0.62	-0.51	 0.28	 0.08	-0.03		 0.46	 0.40	-0.12	-0.12	 0.74	-0.51	 0.48	-0.25	 0.98		-0.84	-0.40	-0.89	-0.42	-0.60	-0.38	-0.04	 0.10	-0.10	-0.14	-0.43	-0.45	-0.43	-0.60	-0.84	-0.47	-0.27	 0.07	 2.14	-1.74	-0.17	-0.47	-0.79	 3.19	 4.48	 4.06	 4.57	-4.64	 1.64	 1.44	-0.27	-0.34	 5.63	-0.07	-0.03	 0.66	-0.06	-0.22	 0.52	 0.91
YHL020C	-0.01	-0.03	 0.21	-0.10	 0.06	 0.25	 0.28	 0.21	 0.11	 0.11	-0.03	-0.09	-0.17	 0.18	-0.07	 0.07		-0.04	 0.19	 0.26	 0.23	 0.00	-0.18	 0.00	-0.45	 0.16	-0.64	-0.27	 0.10	-0.79	-0.10	-0.36	-0.74	-0.03	-0.34	-0.79	-0.54	-0.27	-0.18	-0.20	-0.17	-0.10	-0.04	 0.33	 0.39	 0.01	 0.24	 0.55	 0.32	 0.45	 0.20	 0.12	-0.17	 0.21	-0.15	-0.25	-0.14	-0.07	 0.49	 0.14	-0.10	-0.10	-0.60	-0.79	-1.06	-0.81	-0.51	-0.27	-0.20	-0.25	-0.67	-1.40	-1.03	-0.25	 0.01	 0.28	-0.06	-0.27	 0.65	 0.50
YGR072W	 0.20	-0.43	-0.22	-0.36	-0.15	-0.42	 0.15	-0.04	 0.06	-0.27	-0.43	-0.42	-0.18	-0.38	-0.36	-0.25	 0.04	-0.29	 0.15	 0.06	 0.01	-0.58	-0.62	-0.51	-0.27	 0.00	-0.64	 0.50	-0.12	-0.69	-0.07	-0.86	-0.92	-0.06	-0.23	-0.32	 0.18	-0.32	-0.12	 0.25	-0.10	-0.47	-0.34	 0.14	-0.51	-0.23	-0.27	-0.18	-0.38	-0.42	-0.49	-0.40	-0.49	-0.18	-0.51	-0.42	-0.76	 0.41	 0.46	-0.38	-0.22	-1.43	-0.92	 0.10	 0.72	 0.66	 0.51	-1.25	 0.37	 0.46	-0.81	 0.19	 0.23	-0.10	-0.14	 0.14	-0.49	-0.18	 0.08	-0.18
YGR145W	 0.11	-1.15	-1.03	-0.76	 0.03	-0.30	 0.20	-0.10	 0.23	-0.06	-0.07	-0.09	 0.00	 0.00	-0.18	-0.10	 0.01	 0.10	 1.27	 1.01	 0.55	 0.14	-1.32	 0.18	-0.54	-0.04	-1.69	-0.38	-0.01	-1.03	-0.51	-0.74	-0.97	-0.34	-0.74	 0.37	-0.54	-0.07	-0.92	-1.06	-0.18	-0.58	-0.60	-0.62	-0.54	-0.60	 0.03	 0.46	 0.21	-0.23	-0.32	-0.30	 0.11	-0.20	-0.64	-0.56	-0.22	-0.76	 0.28	-0.22	-0.38	-3.47	-1.40	-0.09	-0.89	-1.03	-0.54	-1.43	-1.12	-0.79	-1.94	-0.92	-0.97	 0.00	-0.23	 0.25	-0.89	-1.09	-1.69	-2.18
YGR218W	 0.24	-0.23	 0.12	 0.04	 0.26	-0.18	 0.15	 0.00	 0.10	 0.21	 0.24	 0.21	 0.24	-0.07	 0.28		-0.04	 0.10	 0.10	 0.01	 0.06	-0.06	 0.12	-0.09	-0.10	-0.18	 0.12	 0.19	-0.04	-0.07	-0.14	-0.10	-0.74	-0.43	-0.54	-0.23	 1.41	-0.22	 0.11	-0.25	-0.30	-0.06	-0.38	-0.10	-0.22	-0.30	-0.03	-0.47	-0.51	-0.25	-0.15	 0.08	-0.15	-0.29	-0.58	-0.23	-0.97	 0.39	 0.55	 0.32	-0.38	-0.15	 0.06	-0.04	-0.30	-0.60	-0.29	-0.12	-0.51	-0.56	 0.11	 0.31	-0.22	 0.24	 0.50	-0.04	-0.58	-0.43	-0.67	-0.27
YGL041C	 0.06	 0.23	 0.20	-0.01	-0.01	 0.19	-0.15	 0.19	 0.26	-0.22	 0.32	 0.06	-0.09	-0.06	 0.00	 0.24	-0.30	-0.14	-0.17	-0.20	-0.09	-0.76	 0.73	-0.92	 0.91	-0.47	 0.07	 0.03	-0.84	 0.44	-0.97	 0.18	-0.60	-0.56	 0.41	-0.74	 0.69	-0.42	 0.70		-0.27	-0.38	 0.11	 0.52	-0.40	 0.19	-0.09	 0.08	-0.20	-0.09	-0.04	-0.20	-0.23	 0.06	-0.25	-0.22	-0.17	 0.19	 1.23	 0.54	-0.03	-0.60	-0.15	-0.15	-0.03	-0.17	-0.34	-0.14	 0.23	-0.34	-0.49	-0.01	-0.06	 0.15	 0.08	 0.40	-0.09	-0.40	 0.03	-0.30
YOR202W	 0.10	 0.48	 0.86	 0.25	 0.14	-0.25	 0.18	-0.09	-0.06	-0.06	-0.18	-0.64	-0.10	-0.45	-0.04	-0.30	-0.01	 0.14	-0.40	-0.49	-0.14	-0.27	-0.84	-0.25	-0.29	-0.42	-0.71	-0.86	-0.36	-0.56	-0.79	-0.86	-0.69	-0.89	-0.18	-0.17	-0.04	-0.81	-0.54	-0.23	-0.15	-0.15	 0.06	-0.74	-0.43	-0.42	-0.54	 0.07	 0.28	-0.10	 0.10	 0.25	 0.16	 0.15	 0.03	 0.20	 0.01	 0.08	-0.18	-1.06	-0.47	 0.97	 0.70	 0.31	 0.55	 0.42	 0.39	 0.16	 0.32	-0.06	-0.64	-0.56	-1.32	-0.25	-0.07	 0.25	-0.23	 0.20	-0.51	-0.76
YCR005C	 0.34	 1.46	 1.23	 1.23	 1.06	 0.50	 0.64	 0.54	 0.49	 0.52	 0.01	 0.20	 0.00	 0.03	-0.09	-0.18	 0.08	-0.04	-1.79	-1.94	-0.25	 1.17	 0.16	 1.41	 0.58	 0.45	-1.03	-1.74	 0.43	-0.30	 0.62	-0.49	 0.33	-0.17	 0.64	 1.06	 0.14	 0.04	-1.47	 0.06	 0.81	 0.98	 0.88	-0.01	-0.22	-0.81	-0.51	-0.56	-0.34	 0.11	 0.72	 0.91	 0.52	 0.38	 0.69	 0.60	-0.03	-0.18	 0.23	 0.83	-0.07	 1.37	 1.82	 1.70	 1.55	 0.75	 1.20	 0.30	-0.49	-1.03	 1.17	-4.06	-1.09	-0.49	-0.14	 0.10	-0.38	-0.84	 1.06	 2.28
YER187W	 0.71	 0.03	 0.11	 0.16	-0.40	 0.21	-0.12	 0.24	 0.03	 0.36	 0.07	 0.08	-0.06	-0.15	-0.58	 0.07	-0.07	-0.15	-0.32	 0.11	-0.27	-0.56	 0.44	-0.64	 0.74	-0.42	 0.43	-0.01	-0.27	 0.16	-0.34	 0.50	-0.64	 0.46	 0.74	-0.36	-0.14	-0.30	-0.12	 1.21	-0.60	-0.25	-0.54	 0.07	-0.10	 0.62	-0.81	 0.04	-0.09	 0.10	-0.49	-0.36	-0.40	-0.09	-0.32	-0.23	-0.01	-0.32	 1.36	-0.17	-0.20	-0.17	-0.25	-0.27	-0.43	-0.38	-0.23	-0.22	 0.15	 0.29	 0.36	-0.17	 0.57	-0.36	 0.34	 0.06	-0.34	-0.38	 0.15	-0.29
YBR026C	-0.22	 0.14	 0.14	 0.10	-0.22	-0.38	-0.25	 0.21	-0.62	 0.00	-0.47	-0.04	-0.32	-0.43	-0.94	 0.10	-0.40	-0.06	-0.69	-0.14	-0.32	-0.25	 0.07	-0.76	 0.58	-0.12	 0.08	 0.50	-0.49	-0.38	 0.32	-0.15		-0.12	 0.41		 0.00	-0.47	 0.49	 0.49	-0.32	-0.17	-0.86	 0.88	 0.04	-0.43	-0.14	-0.69	-1.00	-0.86	-0.23	-0.03	-0.03	-0.47	 0.23	 0.58	 0.58	-0.54	-0.36	 0.24	 0.14		-0.38	-0.12	-0.14	-0.27	-0.14	 0.08	-0.07	 0.12	 0.29	 0.20	 0.88	-0.54	-0.14	 0.40	 0.50	-0.14	 1.40	 1.00
YMR244W	 0.16	-0.18	-0.38	 0.01	 0.04	 0.10	 0.08	-0.25	-0.56	-0.23	-0.20	-0.10	-0.03	-0.38	-0.15	-0.18	-1.51	-0.20	 0.04	-0.07	-0.47	 0.55	 0.36	-0.79	 0.00	-0.23	 0.40	 0.40	-0.43	-0.74	 1.54	 0.19	-0.89	-0.17	 0.99	-1.69	 0.34	-0.69	-0.06	 0.89	-1.12	-0.34	-0.79	-0.06	-0.47	-0.27	-0.92	-0.29	-0.42	-0.40	-0.04	-0.06	-0.32	-0.29	-0.30	-0.25	-0.23	 0.33	 0.96	-0.76	-0.67	-0.67	-0.62		-0.27	 0.74	-0.38	-0.94	-0.12	 0.34	-0.42	 0.72	 1.53	-0.69	-0.42	 0.29	-0.34	-0.36	 0.46	 0.28
YAR047C	-0.43	-0.56	-0.14	-0.74	-0.30	-0.42	-0.47	-0.42	-0.40	-0.34	-0.38	-0.06	-0.43	-0.56	-0.36	-0.34	-0.09	-0.76	-1.00	-0.67	-0.94	-1.74	-0.27	-1.22	-0.01	-1.15	 0.03	-0.62	-1.36	-0.45	 0.11	-0.03	-1.64	-1.32	-0.23	-1.89	-0.36	-1.40	 0.14	 0.11	-1.89	-1.43	-1.94	-0.45	-0.18	-0.45	 0.14	 0.21	-0.03	 0.04	-0.20	-0.12	-0.23	 0.11	 0.43	-0.58	 0.01	-0.23	 0.54	-0.38	-0.40	 0.01	-0.45	-0.32	-0.45	 0.07	-0.32	 0.03	 0.04	-0.01	-0.23	-0.36	 1.50	-0.38	-0.32	 0.00	-0.27	-0.45	 0.10	-0.23
YMR317W	-0.43	-0.03	 0.21	 0.11	 0.68	 0.28	 0.08	 0.10	 0.37	-0.12	 0.84	-0.22	-0.17	-0.15	 0.50	 0.11	-0.32	-0.42	-0.40	-0.84	-0.58	-0.25	 0.01	-0.43	-0.36	-0.27	 1.88	-0.10	-0.17	-0.22	 0.19	 0.25	-0.67	-0.09	 0.31	 0.24	 0.71	-0.79	 0.67	 0.38	-0.30	-0.27	-0.45	-0.49	-0.36	-0.07	-0.15	-0.34	-0.69	-0.34	-0.15	-0.15	-0.25	-0.42	 0.00	-0.03	-0.10	 0.61	 0.70	-0.18	-0.38	 0.36	 0.12	 0.29	 0.33	 0.18	 0.18	-0.14	-0.27	-0.25	 0.16	 0.11	-0.64	-0.04	 0.08	 0.08	 0.10	 0.14	 0.11	 0.30
YIR031C	-0.07	 0.08	 0.10	-0.03	 0.18	 0.10	 0.28	 0.00	-0.15	-0.01	-0.07	 0.26	 0.00	-0.07	-0.03	-0.03	 0.25	 0.04	-0.10	-0.03	 0.08	 0.62	-0.67	 0.52	 0.29	 0.43	-0.30	-0.84	 0.84	-0.38	 0.87	 0.10	 0.14	 0.32	 0.98	 1.23	 0.24	 0.67	-0.32	 0.01	 1.45	 1.29	 0.99	-0.36	 0.29	 0.08	-0.43	-0.43	-0.43	-0.32	 0.34	 0.37	 0.29	 0.21	 0.36	 0.25	 0.25	-0.07	 0.04	-0.07	-0.17	 2.41	 1.68	-0.67	-0.74	-1.84	-1.40	 2.47	-0.47	-0.49	 1.50	-0.62	-0.07	-0.60	-0.43	 0.70	-0.51	-0.36	 0.19	 0.04
YDL177C	-0.10	 0.00	-0.14	-0.40	-0.12	-0.25	 0.10	 0.75	 0.00	 0.41	-0.42	 0.23	-0.17	-0.27	-0.62	 0.26	 0.16	 0.87	-1.64	 0.00	-0.09	-0.18	-0.34	-0.12	 0.12	-0.12	-0.62	-0.25	-0.38	-0.54	 0.24	-0.49	-0.62	-0.01	 0.15	-0.27	-0.22	-0.32	-0.54	 0.63	-0.12	-0.10	 0.18	 0.08	-0.67	-0.56	 0.18	 0.18	-0.03	-0.27	-0.42	-0.74	-0.71	-0.12	-0.76	-0.54	-0.69	-0.18	 0.86	 0.14	-0.12	-1.40	-0.04	 0.45	 0.67	 0.62	 0.48	-0.18	 0.37	 0.34	-0.15	 0.52	 0.57	-0.17	 1.03	 0.20	-0.30	-0.45	-0.10	 0.42
YLR338W	-0.04	 0.08	 0.12	 0.07	-0.29	-0.36	-0.54	-0.43	-0.40	-0.43	-0.40	-0.06	-0.34	-0.60	-0.49	-0.07	-0.42	-0.22	-0.32	-0.45	-0.45	 0.24	 0.14	 0.08	 0.03	-0.10	 0.01	-0.06	-0.03	-0.01	 0.03	-0.18	-0.01	-0.09	-0.45	-0.42	-0.10	-0.47	 0.96	 0.11	-0.25	-0.25	-0.34	 0.50	 0.57	-0.09	 0.33	 0.07	-0.36	-0.04	-0.03	 0.20	 0.36	 0.14	 0.21	-0.18	 0.33	 0.03	 0.40	-0.03	-0.01	 0.53	-0.64	-0.58	-1.12	-1.25	-0.94	-0.30	-0.29	 0.54	 0.54	 0.52	 0.03	-0.36	-0.38	-0.42	-0.36	-0.49	 0.58	-0.30
YGR073C	-0.29	-0.15	-0.23	 0.07	-0.04	-0.09	 0.16	-0.14	-0.07	-0.23	-0.51	-0.14	 0.00	-0.36	-0.27	-0.29	-0.40	-0.14	-0.49	-0.60	-0.40	-0.30	-0.14	 0.03	-0.17	-0.43	-0.69	-1.00	-0.47	-0.74	-0.20	-0.56	-0.51	-0.25	-0.76	-0.22	-0.56	-0.23	-0.74	-0.62	-0.54	-0.45	-0.30	 0.06	-0.43	-0.22	-0.47	-0.03	-0.06	-0.38	-0.38	-0.34	-0.27	-0.04	-0.23	-0.47	-0.36	-0.20	 0.64	-0.64	-0.43	 0.16	-0.22	-0.30	-0.22	-0.04	-0.27	 0.00	-0.29	-0.15	-0.20	-0.07	-0.62	-0.14	-0.25	-0.06	-0.18	-0.42	 0.00	-0.51
